Anelli,Vito Walter,Italy,Politecnico di Bari
Aziz Butt,Shariq,Pakistan,University of Lahore
Babič,František,Slovakia,Technical University of Košice
Boratto,Ludovico,Italy,University of Cagliari
Chlasta,Karol,Poland,Polish-Japanese Academy of Information Technology
de Gemmis,Marco,Italy,University of Bari Aldo Moro
Dessì,Danilo,Italy,University of Cagliari
Durão,Frederico Araújo,Brazil,Federal University of Bahia
Dutta,Arpita,Singapore,National University of Singapore
Filipowska,Agata,Poland,Poznań University of Economics and Business
Ge,Mouzhi,Germany,Deggendorf Institute of Technology
Goczyła,Krzysztof,Poland,Gdańsk University of Technology
Górecki,Tomasz,Poland,Adam Mickiewicz University
Gunasekaran,Karthick,USA,University of Massachusetts
Inayat,Irum,Pakistan,National University of Computers and Emerging Sciences
Janusz,Andrzej,Poland,University of Warsaw 
Kannout,Eyad,Poland,University of Warsaw
Lencastre,Maria,Brazil,Escola Politécnica de Pernambuco - UPE 
Liyew,Chalachew Muluken,Italy,University of Torino 
Luković,Ivan,Serbia,University of Belgrade 
Marcinkowski,Bartosz,Poland,University of Gdańsk
Marras,Mirko,Italy,University of Cagliari
Maślankowski,Jacek,Poland,University of Gdańsk
Misra,Sanjay,Norway,Ostfold University
Mohapatra,Durga Prasad,India,NIT Rourkela
Mukta,Saddam Hossain,Bangladesh,United International University
Ng,Yen Ying,Poland,Nicolaus Copernicus University
Nguyen,Phuong T.,Italy,University of L'Aquila
Nocera,Francesco,Italy,Polytechnic University of Bari
Poniszewska-Maranda,Aneta,Poland,Lodz University of Technology
Szczuko,Piotr,Poland,Gdańsk University of Technology
Szymański,Julian,Poland,Gdańsk University of Technology
Taweel,Adel,Palestine,King’s College London/Birzeit University
Vagliano,Iacopo,Netherlands,Amsterdam University Medical Center
Zrigui,Mounir,Tunisia,University of Monastir
